"";"Jahr";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"48";2021;"Brief";"w";"1951 und früher";2971929;24556;912790;984416;92605;212927;294507;224679;101855;123594;0;52333;16490;0
"49";2025;"Urne";"m";"2001-2007";1184572;5829;131813;128699;224845;107112;26384;85512;334171;140207;0;12230;0;69275
"50";2025;"Urne";"m";"1991-2000";1971708;7373;240210;195575;290761;239051;50128;118969;589851;239791;0;28330;0;108839
"51";2025;"Urne";"m";"1981-1990";2535000;10259;427966;239282;197263;287712;86072;110865;938580;237001;0;32606;0;120255
"52";2025;"Urne";"m";"1966-1980";4116951;16510;919198;493200;217427;410566;172378;169437;1425255;292978;0;45714;0;167875
"53";2025;"Urne";"m";"1956-1965";3129864;19575;763289;541431;160438;270869;146850;120116;912243;195053;0;29008;0;129789
"54";2025;"Urne";"m";"<=1955";2975381;34412;964572;677931;144578;173112;175123;146183;500740;158728;0;18421;0;119550
"55";2025;"Urne";"w";"2001-2007";1049830;4225;75950;111286;422094;96977;14389;36295;161709;126905;0;8316;0;69774
"56";2025;"Urne";"w";"1991-2000";1740378;6122;188973;200112;390185;239612;38552;66691;356676;253455;0;25746;0;126574
"57";2025;"Urne";"w";"1981-1990";2389741;11883;397541;294429;242781;328583;76634;87430;635658;314801;0;36821;0;169530
"58";2025;"Urne";"w";"1966-1980";3881334;23716;813339;573204;294953;489990;152393;155175;958686;419880;0;55505;0;239799
"59";2025;"Urne";"w";"1956-1965";3047817;23835;709038;614458;177145;329648;137465;110361;667416;278452;0;38909;0;176564
"60";2025;"Urne";"w";"<=1955";3408282;54347;1121443;866747;168380;237501;187589;143704;422413;206159;0;29288;0;135571
"61";2025;"Brief";"m";"2001-2007";509944;1590;69430;59900;73556;79137;33745;39565;91401;61621;0;11486;0;20028
"62";2025;"Brief";"m";"1991-2000";1142317;2542;165172;120165;144555;219278;75268;78711;197490;139136;0;27535;0;43589
"63";2025;"Brief";"m";"1981-1990";1237676;2886;244299;131036;90358;213174;106285;58890;258899;131849;0;28577;0;46277
"64";2025;"Brief";"m";"1966-1980";1889711;4406;482265;238091;75793;248260;193833;80319;398041;168704;0;43517;0;72904
"65";2025;"Brief";"m";"1956-1965";1676417;5525;458552;308016;68505;195370;176347;66025;267356;130719;0;34057;0;69228
"66";2025;"Brief";"m";"<=1955";1969213;9179;656902;473671;78014;141883;217105;94974;177774;119711;0;28048;0;75212
"67";2025;"Brief";"w";"2001-2007";619340;1300;56929;77531;196501;108239;26715;26436;50274;75414;0;11745;0;30111
"68";2025;"Brief";"w";"1991-2000";1338459;2147;160265;168924;256291;288585;78926;55403;133128;194790;0;33879;0;70457
"69";2025;"Brief";"w";"1981-1990";1330904;3723;245902;170972;123101;257512;109226;47419;179143;193906;0;36725;0;79586
"70";2025;"Brief";"w";"1966-1980";2159465;6992;512073;340666;123002;320866;205441;78744;299345;272335;0;62423;0;122461
"71";2025;"Brief";"w";"1956-1965";1924661;7210;487638;416840;88846;268280;188324;65316;199314;202893;0;45636;0;105085
"72";2025;"Brief";"w";"<=1955";2699690;13556;903615;706958;107159;211060;288855;106218;173218;189049;0;44760;0;104615
