"";"Jahr";"WKR_NR";"WKR_NAME";"LAND_NR";"LAND_NAME";"Wahlbezirksart";"Wahlkreisname";"Wähler";"Ungültige";"CDU";"CSU";"SPD";"LINKE";"GRÜNE";"FDP";"AFD";"meistgewählt";"pct";"geometry";"ref_value";"winner_abzz";"Land";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"AfD";"DIE LINKE";"Sonstige";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"37";2017;"0";"0";"0";0;0;0;0;0;42199;0;39987;0;18228;26158;0;0;0;0;0;0;0;0;0;175928;1338;15537;17405;15076;916;0;0
"38";2017;"0";"0";"0";0;0;0;0;0;69299;0;61725;0;21956;33308;0;0;0;0;0;0;0;0;0;274743;1372;37372;26521;23190;2196;0;0
"39";2017;"0";"0";"0";0;0;0;0;0;86717;0;58236;0;24065;29911;0;0;0;0;0;0;0;0;0;287418;1520;47954;23894;15122;1740;0;0
"40";2017;"0";"0";"0";0;0;0;0;0;207104;0;191130;0;57952;62975;0;0;0;0;0;0;0;0;0;691775;4221;94043;55522;18828;3545;0;0
"41";2017;"0";"0";"0";0;0;0;0;0;114121;0;122158;0;22632;38502;0;0;0;0;0;0;0;0;0;376295;3146;40132;30747;4857;889;0;0
"42";2017;"0";"0";"0";0;0;0;0;0;186554;0;145401;0;12099;44282;0;0;0;0;0;0;0;0;0;445141;4770;33200;16453;2381;334;0;0
"43";2017;"0";"0";"0";0;0;0;0;0;54448;0;43335;0;32644;13243;0;0;0;0;0;0;0;0;0;183172;789;8295;15699;14720;1161;0;0
"44";2017;"0";"0";"0";0;0;0;0;0;90349;0;65055;0;37723;22673;0;0;0;0;0;0;0;0;0;288324;1548;22118;26525;22334;2428;0;0
"45";2017;"0";"0";"0";0;0;0;0;0;110858;0;66056;0;36860;25096;0;0;0;0;0;0;0;0;0;305555;1942;26803;21576;16363;2022;0;0
"46";2017;"0";"0";"0";0;0;0;0;0;244439;0;194244;0;85736;55323;0;0;0;0;0;0;0;0;0;706537;4227;51909;49172;21486;2685;0;0
"47";2017;"0";"0";"0";0;0;0;0;0;150991;0;118572;0;32733;32931;0;0;0;0;0;0;0;0;0;397793;3430;25496;26330;7310;712;0;0
"48";2017;"0";"0";"0";0;0;0;0;0;266401;0;169274;0;22197;47003;0;0;0;0;0;0;0;0;0;549190;6590;19504;13136;5086;552;0;0
"49";2017;"0";"0";"0";0;0;0;0;0;2075;0;2647;0;1291;1809;0;0;0;0;0;0;0;0;0;11638;68;461;1701;1585;1;0;0
"50";2017;"0";"0";"0";0;0;0;0;0;4702;0;4480;0;2366;2372;0;0;0;0;0;0;0;0;0;22649;192;3195;3566;1775;85;0;0
"51";2017;"0";"0";"0";0;0;0;0;0;4096;0;3420;0;2816;2067;0;0;0;0;0;0;0;0;0;20089;91;3057;2733;1810;113;0;0
"52";2017;"0";"0";"0";0;0;0;0;0;9214;0;12970;0;4647;3258;0;0;0;0;0;0;0;0;0;47835;369;8172;7554;1651;142;0;0
"53";2017;"0";"0";"0";0;0;0;0;0;5460;0;7992;0;2500;2350;0;0;0;0;0;0;0;0;0;26675;193;2983;4861;335;2;0;0
"54";2017;"0";"0";"0";0;0;0;0;0;9809;0;10872;0;1241;4640;0;0;0;0;0;0;0;0;0;33769;487;3422;2736;562;192;0;0
"55";2017;"0";"0";"0";0;0;0;0;0;2117;0;2695;0;2349;572;0;0;0;0;0;0;0;0;0;11710;53;626;2114;1185;107;0;0
"56";2017;"0";"0";"0";0;0;0;0;0;5001;0;4672;0;4132;1722;0;0;0;0;0;0;0;0;0;21957;75;1778;2848;1730;95;0;0
"57";2017;"0";"0";"0";0;0;0;0;0;5589;0;4828;0;3166;1999;0;0;0;0;0;0;0;0;0;20913;15;1083;2887;1347;302;0;0
"58";2017;"0";"0";"0";0;0;0;0;0;11950;0;12869;0;7320;2740;0;0;0;0;0;0;0;0;0;49094;431;4530;7305;1949;196;0;0
"59";2017;"0";"0";"0";0;0;0;0;0;7997;0;8516;0;2938;2102;0;0;0;0;0;0;0;0;0;28837;138;2375;4150;623;29;0;0
"60";2017;"0";"0";"0";0;0;0;0;0;15400;0;12984;0;1967;5426;0;0;0;0;0;0;0;0;0;40753;858;1519;2173;426;89;0;0
"61";2017;"0";"0";"0";0;0;0;0;0;80718;0;82452;0;33245;77967;0;0;0;0;0;0;0;0;0;377355;2754;30543;33418;36258;1172;0;0
"62";2017;"0";"0";"0";0;0;0;0;0;134722;0;128870;0;46505;101974;0;0;0;0;0;0;0;0;0;609108;3259;76055;64823;52900;3384;0;0
"63";2017;"0";"0";"0";0;0;0;0;0;163271;0;119942;0;46270;98404;0;0;0;0;0;0;0;0;0;620880;3009;95090;54084;40809;3003;0;0
"64";2017;"0";"0";"0";0;0;0;0;0;400478;0;388190;0;111732;191432;0;0;0;0;0;0;0;0;0;1484508;8782;219438;121273;43183;4840;0;0
"65";2017;"0";"0";"0";0;0;0;0;0;221589;0;234754;0;39807;96399;0;0;0;0;0;0;0;0;0;772523;5753;93717;71419;9085;1290;0;0
"66";2017;"0";"0";"0";0;0;0;0;0;363053;0;279821;0;23983;110404;0;0;0;0;0;0;0;0;0;903534;11743;69433;40323;4774;692;0;0
"67";2017;"0";"0";"0";0;0;0;0;0;103332;0;83289;0;58497;43797;0;0;0;0;0;0;0;0;0;376013;2367;16722;34839;33169;1145;0;0
"68";2017;"0";"0";"0";0;0;0;0;0;181918;0;146011;0;75141;76358;0;0;0;0;0;0;0;0;0;633062;3226;45930;56571;47908;2964;0;0
"69";2017;"0";"0";"0";0;0;0;0;0;215422;0;133731;0;68700;86229;0;0;0;0;0;0;0;0;0;650984;3767;57920;48578;36636;2822;0;0
"70";2017;"0";"0";"0";0;0;0;0;0;482103;0;379553;0;155723;178656;0;0;0;0;0;0;0;0;0;1493733;10671;122310;112938;51778;3824;0;0
"71";2017;"0";"0";"0";0;0;0;0;0;296067;0;231835;0;50334;102163;0;0;0;0;0;0;0;0;0;821284;8862;56371;62287;13365;1412;0;0
