"";"Jahr";"Land";"Bezirksart";"Geschlecht";"Geburtsjahresgruppe";"Summe";"Ungültig";"CDU";"SPD";"DIE LINKE";"GRÜNE";"CSU";"FDP";"AfD";"Sonstige";"dar. NPD";"dar. FREIE WÄHLER";"dar. dieBasis";"dar. BSW"
"36";2017;"Bund";"Urne";"w";"Summe";"16890830";"219256";"4922458";"3493804";"1556318";"1680284";"938989";"1563583";"1684467";"831669";"50270";"161468";NA;NA
"37";2017;"Bund";"Urne";"w";"1993 - 1999";"1201097";"9218";"256046";"235545";"130552";"203052";"55804";"112570";"80492";"117817";"4752";"11748";NA;NA
"38";2017;"Bund";"Urne";"w";"1983 - 1992";"2144967";"16082";"506440";"397309";"232904";"258885";"102210";"191879";"236696";"202561";"16311";"28819";NA;NA
"39";2017;"Bund";"Urne";"w";"1973 - 1982";"2407460";"19064";"653836";"406791";"218170";"291387";"132742";"237238";"290684";"157547";"11341";"29886";NA;NA
"40";2017;"Bund";"Urne";"w";"1958 - 1972";"5050757";"47889";"1350920";"1016840";"482912";"593505";"258159";"472148";"590249";"238136";"12081";"55248";NA;NA
"41";2017;"Bund";"Urne";"w";"1948 - 1957";"2652817";"37573";"800964";"597080";"275040";"192342";"148901";"247394";"282989";"70534";"3701";"21278";NA;NA
"42";2017;"Bund";"Urne";"w";"1947 und früher";"3433732";"89430";"1354252";"840237";"216741";"141112";"241174";"302355";"203357";"45075";"2084";"14490";NA;NA
"43";2017;"Bund";"Brief";"Summe";"Summe";"13430468";"73283";"3731976";"2591903";"1074679";"1269521";"1129391";"1597951";"1280616";"681148";"34252";"163605";NA;NA
"44";2017;"Bund";"Brief";"Summe";"1993 - 1999";"837909";"4260";"179303";"128477";"75690";"140885";"63338";"115747";"45734";"84474";"2911";"10911";NA;NA
"45";2017;"Bund";"Brief";"Summe";"1983 - 1992";"1627481";"6625";"365804";"243616";"152249";"223116";"131917";"210912";"132642";"160600";"8483";"28330";NA;NA
"46";2017;"Bund";"Brief";"Summe";"1973 - 1982";"1401657";"5985";"351981";"190546";"109573";"180869";"118723";"182100";"151450";"110431";"7512";"23331";NA;NA
"47";2017;"Bund";"Brief";"Summe";"1958 - 1972";"3637102";"16440";"937461";"657423";"292223";"412804";"271649";"414977";"442222";"191902";"10192";"54567";NA;NA
"48";2017;"Bund";"Brief";"Summe";"1948 - 1957";"2446636";"14569";"670486";"547949";"227215";"180714";"186431";"287200";"256832";"75241";"2399";"25393";NA;NA
"49";2017;"Bund";"Brief";"Summe";"1947 und früher";"3479682";"25405";"1226941";"823891";"217730";"131132";"357332";"387015";"251736";"58500";"2755";"21072";NA;NA
"50";2017;"Bund";"Brief";"m";"Summe";"6095735";"31586";"1508151";"1178211";"518560";"497481";"477578";"830239";"762287";"291642";"20100";"69372";NA;NA
"51";2017;"Bund";"Brief";"m";"1993 - 1999";"371532";"2328";"70755";"55465";"34361";"48361";"27590";"68612";"27088";"36971";"1644";"4871";NA;NA
"52";2017;"Bund";"Brief";"m";"1983 - 1992";"756038";"3055";"148223";"110198";"75494";"84094";"56209";"124257";"80188";"74319";"4455";"11874";NA;NA
"53";2017;"Bund";"Brief";"m";"1973 - 1982";"683341";"2643";"153403";"87880";"55442";"78038";"53965";"104753";"94705";"52513";"4530";"10454";NA;NA
"54";2017;"Bund";"Brief";"m";"1958 - 1972";"1689681";"7422";"398900";"305809";"136437";"164207";"120924";"212730";"266630";"76623";"6140";"23306";NA;NA
"55";2017;"Bund";"Brief";"m";"1948 - 1957";"1134057";"5947";"274770";"262247";"112178";"74578";"78673";"141680";"153568";"30417";"1631";"10602";NA;NA
"56";2017;"Bund";"Brief";"m";"1947 und früher";"1461084";"10191";"462100";"356612";"104648";"48203";"140217";"178207";"140107";"20799";"1699";"8264";NA;NA
"57";2017;"Bund";"Brief";"w";"Summe";"7334733";"41697";"2223825";"1413692";"556119";"772040";"651813";"767712";"518329";"389506";"14152";"94233";NA;NA
"58";2017;"Bund";"Brief";"w";"1993 - 1999";"466377";"1932";"108548";"73012";"41329";"92524";"35748";"47136";"18646";"47502";"1267";"6040";NA;NA
"59";2017;"Bund";"Brief";"w";"1983 - 1992";"871442";"3570";"217581";"133418";"76755";"139022";"75708";"86654";"52453";"86280";"4028";"16456";NA;NA
"60";2017;"Bund";"Brief";"w";"1973 - 1982";"718316";"3342";"198578";"102666";"54130";"102831";"64758";"77347";"56745";"57919";"2982";"12877";NA;NA
"61";2017;"Bund";"Brief";"w";"1958 - 1972";"1947421";"9017";"538561";"351614";"155786";"248597";"150726";"202247";"175592";"115280";"4052";"31261";NA;NA
"62";2017;"Bund";"Brief";"w";"1948 - 1957";"1312579";"8622";"395717";"285702";"115037";"106136";"107758";"145519";"103265";"44824";"767";"14791";NA;NA
"63";2017;"Bund";"Brief";"w";"1947 und früher";"2018599";"15214";"764841";"467279";"113082";"82929";"217115";"208809";"111629";"37700";"1056";"12808";NA;NA
"64";2021;"Bund";"Summe";"Summe";"Summe";"46854508";"412485";"8775471";"11955434";"2270906";"6852206";"2402827";"5319952";"4803902";"4061325";NA;"1127784";"630153";NA
"65";2021;"Bund";"Summe";"Summe";"1997 - 2003";"3537017";"18961";"290701";"549841";"274030";"843443";"89447";"721093";"223374";"526127";NA;"85970";"39099";NA
"66";2021;"Bund";"Summe";"Summe";"1987 - 1996";"6046716";"34822";"615507";"1042617";"403724";"1384522";"198069";"895270";"598388";"873798";NA;"187784";"93218";NA
"67";2021;"Bund";"Summe";"Summe";"1977 - 1986";"6452983";"41351";"929919";"1235499";"309163";"1191683";"269000";"798092";"902897";"775380";NA;"207340";"133555";NA
"68";2021;"Bund";"Summe";"Summe";"1962 - 1976";"12584887";"86447";"2260334";"3181809";"513052";"1824104";"612997";"1410448";"1603713";"1091982";NA;"344792";"221194";NA
"69";2021;"Bund";"Summe";"Summe";"1952 - 1961";"8443359";"79624";"1712435";"2648659";"402897";"980200";"492160";"751705";"894856";"480823";NA;"178970";"95536";NA
"70";2021;"Bund";"Summe";"Summe";"1951 und früher";"9789547";"151280";"2966574";"3297010";"368041";"628254";"741154";"743345";"580674";"313215";NA;"122929";"47551";NA
"71";2021;"Bund";"Summe";"m";"Summe";"22744128";"173603";"4119661";"5524186";"1138075";"3043058";"1143921";"2891484";"2934311";"1775829";NA;"515155";"246316";NA
"72";2021;"Bund";"Summe";"m";"1997 - 2003";"1776863";"8301";"146961";"259093";"118589";"349476";"46231";"461427";"136389";"250396";NA;"42902";"17691";NA
"73";2021;"Bund";"Summe";"m";"1987 - 1996";"3027502";"16403";"301441";"487714";"210356";"604971";"98022";"534958";"357692";"415945";NA;"90510";"38925";NA
"74";2021;"Bund";"Summe";"m";"1977 - 1986";"3202675";"17791";"446850";"562621";"161271";"541116";"131569";"436058";"553939";"351461";NA;"96087";"53282";NA
"75";2021;"Bund";"Summe";"m";"1962 - 1976";"6238417";"37826";"1139980";"1490277";"255292";"818896";"305123";"735711";"1002934";"452377";NA;"156040";"86270";NA
"76";2021;"Bund";"Summe";"m";"1952 - 1961";"4144074";"35127";"813774";"1266654";"207803";"456809";"244697";"379882";"543019";"196310";NA;"83187";"35280";NA
"77";2021;"Bund";"Summe";"m";"1951 und früher";"4354597";"58154";"1270654";"1457827";"184765";"271790";"318279";"343447";"340339";"109341";NA;"46428";"14867";NA
"78";2021;"Bund";"Summe";"w";"Summe";"24110380";"238882";"4655810";"6431248";"1132831";"3809148";"1258906";"2428468";"1869591";"2285496";NA;"612629";"383837";NA
"79";2021;"Bund";"Summe";"w";"1997 - 2003";"1760154";"10660";"143740";"290748";"155441";"493967";"43216";"259666";"86985";"275732";NA;"43069";"21407";NA
"80";2021;"Bund";"Summe";"w";"1987 - 1996";"3019214";"18418";"314066";"554902";"193368";"779551";"100047";"360311";"240696";"457853";NA;"97273";"54293";NA
"81";2021;"Bund";"Summe";"w";"1977 - 1986";"3250308";"23560";"483069";"672878";"147891";"650567";"137431";"362034";"348958";"423919";NA;"111252";"80272";NA
"82";2021;"Bund";"Summe";"w";"1962 - 1976";"6346470";"48620";"1120354";"1691532";"257760";"1005209";"307874";"674737";"600779";"639605";NA;"188752";"134925";NA
"83";2021;"Bund";"Summe";"w";"1952 - 1961";"4299285";"44497";"898661";"1382005";"195094";"523390";"247464";"371823";"351838";"284514";NA;"95782";"60256";NA
"84";2021;"Bund";"Summe";"w";"1951 und früher";"5434950";"93126";"1695920";"1839182";"183276";"356464";"422875";"399898";"240335";"203874";NA;"76501";"32684";NA
"85";2021;"Bund";"Urne";"Summe";"Summe";"24708172";"292349";"4637821";"6256699";"1283006";"3176179";"863042";"2785354";"3320958";"2092764";NA;"449333";"375325";NA
