"";"Jahr";"Land";"Geschlecht";"Geburtsjahresgruppe";"sum(Summe)";"sum(Ungültig)";"CDU_CSU";"sum(SPD)";"sum(`DIE LINKE`)";"sum(GRÜNE)";"sum(FDP)";"sum(AfD)";"sum(Sonstige)"
"51";2017;"Berlin-West";"m";"1958 - 1972";156291;1792;32095;28792;20112;22424;16814;26258;8004
"52";2017;"Berlin-West";"m";"1973 - 1982";75139;762;14458;12721;13074;11977;7467;8385;6295
"53";2017;"Berlin-West";"m";"1983 - 1992";82731;922;12385;13331;17850;13461;7862;7003;9916
"54";2017;"Berlin-West";"m";"1993 - 1999";35641;482;4989;6875;6024;5864;4687;2279;4440
"55";2017;"Berlin-West";"w";"1947 und früher";135973;2875;57706;33245;6224;6240;18562;8372;2749
"56";2017;"Berlin-West";"w";"1948 - 1957";85942;1415;23918;19899;10568;10506;9221;7212;3202
"57";2017;"Berlin-West";"w";"1958 - 1972";151710;1921;36468;27260;18763;27117;14867;14253;11062
"58";2017;"Berlin-West";"w";"1973 - 1982";76210;613;18433;12320;10488;16325;5914;4979;7139
"59";2017;"Berlin-West";"w";"1983 - 1992";86537;670;15434;13616;18584;18389;5883;4386;9575
"60";2017;"Berlin-West";"w";"1993 - 1999";36473;233;5853;5405;7613;7984;2781;1988;4615
"61";2017;"Brandenburg";"m";"1947 und früher";147707;2991;38118;38096;32607;2772;6809;23991;2323
"62";2017;"Brandenburg";"m";"1948 - 1957";135437;1434;29839;24711;28595;4090;8928;33709;4132
"63";2017;"Brandenburg";"m";"1958 - 1972";235825;1948;54323;33822;33181;10743;19054;70874;11880
"64";2017;"Brandenburg";"m";"1973 - 1982";103538;901;23567;12043;11566;5294;9268;32335;8566
"65";2017;"Brandenburg";"m";"1983 - 1992";80426;783;14429;10225;11354;3897;6337;22484;10915
"66";2017;"Brandenburg";"m";"1993 - 1999";33784;433;6304;5208;4767;3152;4095;5486;4340
"67";2017;"Brandenburg";"w";"1947 und früher";178397;5715;61821;44540;34481;4859;8862;14153;3966
"68";2017;"Brandenburg";"w";"1948 - 1957";141994;2181;43394;25948;29806;5426;8911;19904;6423
"69";2017;"Brandenburg";"w";"1958 - 1972";237007;2468;68389;36150;39142;15319;18543;40088;16907
"70";2017;"Brandenburg";"w";"1973 - 1982";102492;975;30825;14069;13722;8020;7636;18723;8522
"71";2017;"Brandenburg";"w";"1983 - 1992";83038;1123;19676;12509;11529;6246;4720;15663;11572
"72";2017;"Brandenburg";"w";"1993 - 1999";32501;362;7154;4501;4970;5154;2322;3693;4344
"73";2017;"Bremen";"m";"1947 und früher";33769;487;9809;10872;2736;1241;4640;3422;562
"74";2017;"Bremen";"m";"1948 - 1957";26675;193;5460;7992;4861;2500;2350;2983;335
"75";2017;"Bremen";"m";"1958 - 1972";47835;369;9214;12970;7554;4647;3258;8172;1651
"76";2017;"Bremen";"m";"1973 - 1982";20089;91;4096;3420;2733;2816;2067;3057;1810
"77";2017;"Bremen";"m";"1983 - 1992";22649;192;4702;4480;3566;2366;2372;3195;1775
"78";2017;"Bremen";"m";"1993 - 1999";11638;68;2075;2647;1701;1291;1809;461;1585
"79";2017;"Bremen";"w";"1947 und früher";40753;858;15400;12984;2173;1967;5426;1519;426
"80";2017;"Bremen";"w";"1948 - 1957";28837;138;7997;8516;4150;2938;2102;2375;623
"81";2017;"Bremen";"w";"1958 - 1972";49094;431;11950;12869;7305;7320;2740;4530;1949
"82";2017;"Bremen";"w";"1973 - 1982";20913;15;5589;4828;2887;3166;1999;1083;1347
"83";2017;"Bremen";"w";"1983 - 1992";21957;75;5001;4672;2848;4132;1722;1778;1730
"84";2017;"Bremen";"w";"1993 - 1999";11710;53;2117;2695;2114;2349;572;626;1185
"85";2017;"Bund";"m";"1947 und früher";4300726;65480;1682652;1108252;324971;137652;454115;479397;48208
"86";2017;"Bund";"m";"1948 - 1957";3741274;34896;1080781;893330;413595;223251;392710;619595;83114
"87";2017;"Bund";"m";"1958 - 1972";6930258;47053;1902440;1379820;643130;607369;748468;1324465;277513
"88";2017;"Bund";"m";"1973 - 1982";3089525;19901;831617;456033;289045;281653;387886;604999;218392
"89";2017;"Bund";"m";"1983 - 1992";3001418;19674;702187;490462;342655;263648;403389;480174;299229
"90";2017;"Bund";"m";"1993 - 1999";1694779;13189;380034;305590;176106;192427;280317;167573;179542
"91";2017;"Bund";"w";"1947 und früher";5427886;104446;2577826;1300575;322319;222047;508202;311609;80864
"92";2017;"Bund";"w";"1948 - 1957";3951857;45878;1449311;882361;386863;295750;392194;385337;114163
"93";2017;"Bund";"w";"1958 - 1972";6987768;56535;2295996;1366793;636091;840244;674193;766374;351544
"94";2017;"Bund";"w";"1973 - 1982";3137743;22593;1050765;511405;274576;396113;317016;348561;216713
"95";2017;"Bund";"w";"1983 - 1992";3038245;20091;906594;534780;314301;402395;280004;290646;289433
"96";2017;"Bund";"w";"1993 - 1999";1674861;11114;457139;309981;173620;295852;160954;99385;166817
"97";2017;"Hamburg";"m";"1947 und früher";82374;387;27143;25460;4813;3382;12744;8132;313
"98";2017;"Hamburg";"m";"1948 - 1957";56893;560;12358;16539;7724;5049;6442;7228;994
"99";2017;"Hamburg";"m";"1958 - 1972";136546;753;30587;31007;18846;18278;15432;16425;5219
"100";2017;"Hamburg";"m";"1973 - 1982";77150;411;17975;14201;10099;12354;9579;7726;4805
"101";2017;"Hamburg";"m";"1983 - 1992";75831;345;12993;14324;13874;10986;8983;6279;8047
"102";2017;"Hamburg";"m";"1993 - 1999";33742;54;6707;7374;4788;4661;5057;1913;3189
"103";2017;"Hamburg";"w";"1947 und früher";112794;1568;47153;33678;4399;5883;13797;5280;1035
"104";2017;"Hamburg";"w";"1948 - 1957";63907;394;17879;17684;7520;6789;7068;5507;1065
"105";2017;"Hamburg";"w";"1958 - 1972";138322;892;40443;31225;16831;24627;10852;8573;4879
"106";2017;"Hamburg";"w";"1973 - 1982";85287;704;24299;15027;10602;18109;6849;4800;4896
"107";2017;"Hamburg";"w";"1983 - 1992";88719;537;21512;16335;14231;18989;6229;3591;7295
"108";2017;"Hamburg";"w";"1993 - 1999";33360;201;7264;7009;5348;7263;2579;1057;2639
"109";2017;"Hessen";"m";"1947 und früher";312855;5858;117139;89566;14003;9941;38518;35632;2198
"110";2017;"Hessen";"m";"1948 - 1957";273279;3100;68878;74644;26533;18855;32052;43948;5269
"111";2017;"Hessen";"m";"1958 - 1972";508421;4642;127305;116167;44230;48316;59947;90047;17767
"112";2017;"Hessen";"m";"1973 - 1982";212563;2075;55387;35880;18803;19279;27911;38909;14319
"113";2017;"Hessen";"m";"1983 - 1992";208464;2014;45565;39234;21666;19608;30687;30874;18815
"114";2017;"Hessen";"m";"1993 - 1999";129588;1456;26626;25853;14579;16518;20746;11130;12679
"115";2017;"Hessen";"w";"1947 und früher";388042;8931;175505;106790;11490;15457;42691;22861;4318
"116";2017;"Hessen";"w";"1948 - 1957";287806;5068;96473;75735;23176;24388;30193;25728;7044
"117";2017;"Hessen";"w";"1958 - 1972";518856;6671;158927;113091;44609;70352;51517;51471;22217
"118";2017;"Hessen";"w";"1973 - 1982";220497;2852;70000;42921;17714;29070;21843;23388;12709
"119";2017;"Hessen";"w";"1983 - 1992";207590;2589;60054;41874;21263;28069;18594;17534;17613
"120";2017;"Hessen";"w";"1993 - 1999";127481;1285;31342;26672;13090;23881;12043;7190;11977
"121";2017;"Mecklenburg-Vorpommern";"m";"1947 und früher";94318;1669;29021;20853;21729;1209;3909;15160;769
"122";2017;"Mecklenburg-Vorpommern";"m";"1948 - 1957";88869;859;25072;13471;19188;2202;4514;21249;2316
"123";2017;"Mecklenburg-Vorpommern";"m";"1958 - 1972";136156;1258;38623;16076;21981;4417;9250;38808;5742
"124";2017;"Mecklenburg-Vorpommern";"m";"1973 - 1982";58461;476;16459;6056;6977;3023;3975;16938;4558
"125";2017;"Mecklenburg-Vorpommern";"m";"1983 - 1992";53231;366;11954;6810;7714;3389;4150;13116;5731
"126";2017;"Mecklenburg-Vorpommern";"m";"1993 - 1999";21700;111;4766;3085;2331;2110;3334;2876;3088
"127";2017;"Mecklenburg-Vorpommern";"w";"1947 und früher";118152;2881;51114;22615;22964;2298;5015;9874;1391
"128";2017;"Mecklenburg-Vorpommern";"w";"1948 - 1957";96332;1126;37600;15337;19771;2647;5099;12416;2335
"129";2017;"Mecklenburg-Vorpommern";"w";"1958 - 1972";138429;1208;49466;18259;25066;6896;9272;21833;6427
"130";2017;"Mecklenburg-Vorpommern";"w";"1973 - 1982";57081;453;20872;6805;7222;3717;4467;9631;3914
"131";2017;"Mecklenburg-Vorpommern";"w";"1983 - 1992";53177;464;16090;7230;7161;4372;3284;8327;6248
"132";2017;"Mecklenburg-Vorpommern";"w";"1993 - 1999";22680;205;6227;3093;3262;3234;1625;2181;2852
"133";2017;"Niedersachsen";"m";"1947 und früher";445141;4770;186554;145401;16453;12099;44282;33200;2381
"134";2017;"Niedersachsen";"m";"1948 - 1957";376295;3146;114121;122158;30747;22632;38502;40132;4857
"135";2017;"Niedersachsen";"m";"1958 - 1972";691775;4221;207104;191130;55522;57952;62975;94043;18828
"136";2017;"Niedersachsen";"m";"1973 - 1982";287418;1520;86717;58236;23894;24065;29911;47954;15122
"137";2017;"Niedersachsen";"m";"1983 - 1992";274743;1372;69299;61725;26521;21956;33308;37372;23190
"138";2017;"Niedersachsen";"m";"1993 - 1999";175928;1338;42199;39987;17405;18228;26158;15537;15076
"139";2017;"Niedersachsen";"w";"1947 und früher";549190;6590;266401;169274;13136;22197;47003;19504;5086
"140";2017;"Niedersachsen";"w";"1948 - 1957";397793;3430;150991;118572;26330;32733;32931;25496;7310
"141";2017;"Niedersachsen";"w";"1958 - 1972";706537;4227;244439;194244;49172;85736;55323;51909;21486
"142";2017;"Niedersachsen";"w";"1973 - 1982";305555;1942;110858;66056;21576;36860;25096;26803;16363
"143";2017;"Niedersachsen";"w";"1983 - 1992";288324;1548;90349;65055;26525;37723;22673;22118;22334
"144";2017;"Niedersachsen";"w";"1993 - 1999";183172;789;54448;43335;15699;32644;13243;8295;14720
"145";2017;"Nordrhein-Westfalen";"m";"1947 und früher";903534;11743;363053;279821;40323;23983;110404;69433;4774
"146";2017;"Nordrhein-Westfalen";"m";"1948 - 1957";772523;5753;221589;234754;71419;39807;96399;93717;9085
"147";2017;"Nordrhein-Westfalen";"m";"1958 - 1972";1484508;8782;400478;388190;121273;111732;191432;219438;43183
"148";2017;"Nordrhein-Westfalen";"m";"1973 - 1982";620880;3009;163271;119942;54084;46270;98404;95090;40809
"149";2017;"Nordrhein-Westfalen";"m";"1983 - 1992";609108;3259;134722;128870;64823;46505;101974;76055;52900
"150";2017;"Nordrhein-Westfalen";"m";"1993 - 1999";377355;2754;80718;82452;33418;33245;77967;30543;36258
"151";2017;"Nordrhein-Westfalen";"w";"1947 und früher";1195477;20891;571339;349428;36351;35033;129268;44896;8271
"152";2017;"Nordrhein-Westfalen";"w";"1948 - 1957";821284;8862;296067;231835;62287;50334;102163;56371;13365
"153";2017;"Nordrhein-Westfalen";"w";"1958 - 1972";1493733;10671;482103;379553;112938;155723;178656;122310;51778
"154";2017;"Nordrhein-Westfalen";"w";"1973 - 1982";650984;3767;215422;133731;48578;68700;86229;57920;36636
"155";2017;"Nordrhein-Westfalen";"w";"1983 - 1992";633062;3226;181918;146011;56571;75141;76358;45930;47908
"156";2017;"Nordrhein-Westfalen";"w";"1993 - 1999";376013;2367;103332;83289;34839;58497;43797;16722;33169
"157";2017;"Rheinland-Pfalz";"m";"1947 und früher";214673;4214;90696;63412;8524;4738;19857;20710;2522
"158";2017;"Rheinland-Pfalz";"m";"1948 - 1957";209253;2454;66479;59126;16278;10381;20368;29135;5033
"159";2017;"Rheinland-Pfalz";"m";"1958 - 1972";364539;3040;106614;85366;29708;27953;37410;59846;14602
"160";2017;"Rheinland-Pfalz";"m";"1973 - 1982";150437;1414;44831;27684;10074;10544;18922;27714;9254
"161";2017;"Rheinland-Pfalz";"m";"1983 - 1992";142427;1451;36246;27912;12952;10692;21031;21722;10420
"162";2017;"Rheinland-Pfalz";"m";"1993 - 1999";96542;825;24119;20900;8698;10516;16202;8735;6548
"163";2017;"Rheinland-Pfalz";"w";"1947 und früher";257058;5431;131311;73140;5688;7301;20304;10612;3271
"164";2017;"Rheinland-Pfalz";"w";"1948 - 1957";209134;2869;84216;55952;12132;11997;19291;17573;5103
"165";2017;"Rheinland-Pfalz";"w";"1958 - 1972";357946;3638;126937;79989;25898;37935;33910;35192;14447
"166";2017;"Rheinland-Pfalz";"w";"1973 - 1982";156605;1653;58631;30614;11047;15068;15666;16143;7783
"167";2017;"Rheinland-Pfalz";"w";"1983 - 1992";143471;1612;50525;27228;11889;16206;13754;13447;8810
"168";2017;"Rheinland-Pfalz";"w";"1993 - 1999";90009;987;27400;19197;8022;15902;8521;4858;5122
"169";2017;"Saarland";"m";"1947 und früher";58775;1799;23819;17062;5798;974;3830;5053;442
"170";2017;"Saarland";"m";"1948 - 1957";54036;764;15571;15562;8332;2068;4059;6540;1139
"171";2017;"Saarland";"m";"1958 - 1972";88507;674;22653;24661;12755;5501;6446;13224;2594
"172";2017;"Saarland";"m";"1973 - 1982";34406;328;8380;7140;4586;2026;2964;6584;2399
"173";2017;"Saarland";"m";"1983 - 1992";33470;614;7021;7822;4530;1371;3764;4730;3619
"174";2017;"Saarland";"m";"1993 - 1999";21678;298;4277;4882;2946;2556;2611;1555;2552
"175";2017;"Saarland";"w";"1947 und früher";71949;1804;35185;20902;5769;1672;4089;2077;452
"176";2017;"Saarland";"w";"1948 - 1957";56716;986;21282;15546;8124;2480;3598;3745;954
"177";2017;"Saarland";"w";"1958 - 1972";88046;1202;25940;24193;11739;8118;6068;8031;2756
"178";2017;"Saarland";"w";"1973 - 1982";35612;603;10951;8484;4695;2754;2449;3899;1778
"179";2017;"Saarland";"w";"1983 - 1992";32921;364;9895;8159;3701;3060;2832;2239;2672
"180";2017;"Saarland";"w";"1993 - 1999";19294;720;4599;4481;2474;2538;1768;1244;1472
"181";2017;"Sachsen";"m";"1947 und früher";244117;4909;71042;40848;49755;3156;14277;56920;3211
"182";2017;"Sachsen";"m";"1948 - 1957";208950;1989;50628;22572;35628;4162;14847;72575;6550
"183";2017;"Sachsen";"m";"1958 - 1972";351076;2823;72987;29382;46451;15002;29524;136691;18216
"184";2017;"Sachsen";"m";"1973 - 1982";195130;1532;37670;15224;24813;12009;18504;69641;15737
"185";2017;"Sachsen";"m";"1983 - 1992";168720;1719;28359;13855;23818;8097;17058;53352;22462
"186";2017;"Sachsen";"m";"1993 - 1999";60323;570;9741;6103;10185;4231;6848;13256;9390
"187";2017;"Sachsen";"w";"1947 und früher";308304;7188;129106;42533;55007;6854;18839;42337;6440
"188";2017;"Sachsen";"w";"1948 - 1957";224284;2937;73009;23063;42741;6823;16859;48425;10426
"189";2017;"Sachsen";"w";"1958 - 1972";345322;2815;95747;30237;52181;18229;31571;89784;24758
"190";2017;"Sachsen";"w";"1973 - 1982";175641;1665;49852;14225;23197;14830;15926;40525;15421
"191";2017;"Sachsen";"w";"1983 - 1992";167956;1605;37182;16860;25267;12345;14358;36145;24194
"192";2017;"Sachsen";"w";"1993 - 1999";59862;527;10427;6204;9584;7870;5052;10289;9908
"193";2017;"Sachsen-Anhalt";"m";"1947 und früher";126261;2545;39096;28117;26488;1825;6451;19876;1863
"194";2017;"Sachsen-Anhalt";"m";"1948 - 1957";114752;1496;30224;17754;24382;1954;7635;28229;3080
"195";2017;"Sachsen-Anhalt";"m";"1958 - 1972";182871;1974;43646;23176;30170;5081;15137;55277;8408
"196";2017;"Sachsen-Anhalt";"m";"1973 - 1982";81432;918;20099;8572;9772;3568;8243;24361;5899
"197";2017;"Sachsen-Anhalt";"m";"1983 - 1992";77024;883;15214;10540;10164;4428;6884;20104;8807
"198";2017;"Sachsen-Anhalt";"m";"1993 - 1999";29103;489;5634;3887;4722;2162;4220;4492;3497
"199";2017;"Sachsen-Anhalt";"w";"1947 und früher";159159;3797;66865;30891;29494;2816;8904;12933;3458
"200";2017;"Sachsen-Anhalt";"w";"1948 - 1957";125320;1752;46518;17797;25587;2947;8758;17454;4507
"201";2017;"Sachsen-Anhalt";"w";"1958 - 1972";185017;2236;59712;24165;33509;8147;15099;31065;11084
"202";2017;"Sachsen-Anhalt";"w";"1973 - 1982";76445;792;23117;9362;10389;3953;7520;14214;7098
"203";2017;"Sachsen-Anhalt";"w";"1983 - 1992";75661;1007;19958;10252;10780;5171;5236;13992;9265
"204";2017;"Sachsen-Anhalt";"w";"1993 - 1999";30428;604;7328;4466;5401;4191;2469;2404;3565
